source_lemma,main_lemma_a1,main_lemma_a2,pos_a1,pos_a2,kalimat_asal_a1,kalimat_asal_a2,kalimat_tujuan_a1,kalimat_tujuan_a2,notes_a1,notes_a2,notes_family_a1,notes_family_a2,outcome
aku,aku,aku,pron,pron,dibari uma wadai,aku dibari uma wadai,aku diberi mama kue,aku diberi mama kue,,,,,disagree_content
bahahar,hahar,hahar,adv,adv,bahahar inya manyacii lampu paratan lampu mati,bahahar inya menyacii lampu paratan lampu mati,meraba dia mencari lampu ketika lampu,meraba dia mencari lampu ketika lampu,,,,,disagree_content
bahampul,hampul,hampul,a,a,sasar balawas mambawa bahampul,sasar balawas mambawa bahampul,makin lama membawa makin entang,makin lama membawa makin enteng,,,,,disagree_content
bahulat,hulat,hulat,v,v,tiwadaknya bahuat,tiwadaknya bahulat,cempedaknya berulat,cempedaknya berulat,,,,,disagree_content
baingsut,ingsut,ingsut,v,v,ingsut itungannya,baingsut jumlahnya,susut hitungannya,berkurang jumlahnya,,,,,disagree_content
bakabun,kabun,kabun,v,v,inya bakabun jawau,inya bakabun jawau,dia berkebun singkong,dia berkeben singkong,,,,,disagree_content
bakaduh,kaduh,kaduh,v,v,mun uyuh jangan bakaduhlah,mun ujyh jangan bakaduhlah,kalau capek jangan mengeluh ya,kalau capek jangan mengeluh ya,,,,,disagree_content
bakajut,kajut,kajut,v,v,inya pang bakajut manyubarang pas taranjah sapida,inya pang bakajut manyubarang pas taranjah sapida,dia sih tiba-tiba menyebrang makanya tertabrak sepeda,dia sih tiba-tiba menyeberang makanya tertabrak sepeda,,,,,disagree_content
bakalupus,kalupus,kalupus,v,v,kakanakan nang dalam parut gin sudah bakalupus jua,kakanakan nang dalam parut gin sudah bakalupus jua,bayi yg masih dlm perut pun sdh berkulit ari,bayi yg masih dlm perut pun sudah berkulit ari,,,,,disagree_content
bakarujut,karujut,karujut,v,v,kanapa mataku bakarujut,kanapa mataku bakarujut,bisa handak manangis,"mengapa otot mata saya bergerak-gerak, jangan-jangan akan menangis",,,,,disagree_content
bakunal,kunal,kunal,v,v,inya kada sua bakunal,inya sada kada sua bakunal,dia tdk pernah menderita peny prambusia di pantat,dia tidak pernah menderita peny prambusia di pantat,,,,,disagree_content
bamal,mal,mal,v,v,baju nang kujahit ni bamal,baju nang kujahit ni bamal,baju yg kujahit ini berpola,baju yang kujahit ini berpola,,,,,disagree_content
banakal,nakal,nakal,v,v,imbah ganal ganal kakanak nitu banakal,imbah ganal kakunak nitu banakal,setelah besar anak itu bertambah nakal,setelah besar anak itu bertambah nakal,,,,,disagree_content
bapikah,pikah,pikah,adv,adv,dahannya pikah,inya mandapati dahan ngitu bapikah,dahannya patah,ia memperoleh dahan itu dengan cara mematah,,,,,disagree_content
baruntai,runtai,runtai,v,v,kalalawar tu pina baruntai di tawing guha,kalalawar itu pina baruntai di tawing guha,kelalawar itu sptnya bergelantungan di dinding gua,kelalawar itu sptnya bergelantungan di dinding gua,,,,,disagree_content
batasbih,tasbih,tasbih,v,v,sidin itu batasbih tarus di masjid,sidin tu batasbih tarus di masjid,beliau itu bertasbih terus di mesjid,beliau itu bertasbih terus di mesjid,,,,,disagree_content
batumbang,tumbang,tumbang,v,v,,kita batumbang mulai bis ka kapal,,kita berganti kendaraan dr bis ke kapal,no example sentences,ada dua definisi,no_pair,other,disagree_extract
batunjul,tunjul,tunjul,v,v,"sapidaku miris, tapaksa aku batunjul","sapida ku miris, tapaksa aku batunjul","sepeda ku bocor, terpaksa aku mendorong","sepeda ku bocor, terpaksa aku mendorong",,,,,disagree_content
bisa,bisa,bisa,v,v,hanyar bisa mambaca,hanyar bisa membaca,baru bisa membaca,baru bisa membaca,,,,,disagree_content
bulirit,buliritan,buliritan,v,v,mambawa handayang nyiur bulirit,mambawa handayang nyiru bulirit,membawa daun kelapa jatuh dan terseret,membawa daun kelapa jatuh dan terseret,,,,,disagree_content
