dict_id,source_lemma,main_lemma,kalimat_asal,kalimat_tujuan,pos
91,anggogoh,anggogoh,anggogoh habang ai,burung anggogoh itu terbang,n
91,arsak,arsak,arsak ni bah,menimba air,v
91,asik,asik,aha na asik ai,apa yang berbau busuk itu?,a
91,bagi,bagi,bagi ma duit ai,bagilah uang itu,n
91,baluhat,baluhat,mangalop bah pakon baluhat kaka,kaka mengambil air pakai baluhat,n
91,banggor,banggor,banggor inang ni,ibunya sakit,a
91,barah,barah,barah lobei hujon,mari kesini dulu,p
91,baringka,baringka,baringka soban ai,ikat kayu api itu,n
91,bauk,bauk,marisi omei bauk ni dayok,tembolok ayam berisi padi,n
91,botou,botou,botouhu roh hujon,adikku datang ke sini,n
91,buhu,buhu,buhu ni tobu payah itagil,buku tebu sukar dipotong,n
91,butir,butir,tolur tolu butir,tiga butir telur,n
91,daul,daul,daul do parsahapanmu,lain saja pembicaraanmu,a
91,deseng,deseng,deseng sorani bah,desing suara air,n
91,diha-diha,diha-diha,roh do ganup dihadiha tikki pesta ai,sanak keluarga semua datang waktu pesta itu,n
91,dungkol,dungkol,dungkol hu ahap duri naheiku,terasa duri mencungkil di kakiku,n
91,gadam,gadam,"halak ai hona gadam, tene?","orang itu kena kusta, ya?",n
91,gajur,gajur,boltokni gajur,perutnya lapar,a
91,goloh,goloh,goloh tumang bani garama ai,gigih sekali pemuda itu,a
91,gondit,gondit,au mamboli gondit i tiga,aku membeli ikat pinggang di pekan,n
91,gurapas,gupak,ia gurapas marlahoan,ia sangat ceroboh dalam bekerja,a
91,harunrun,harunrun,harunrun nami sihal tapi seng do baen,"banyak kemauan, tetapi tidak terpenuhi",a
91,hirah,hirah,hirah lobei parang ai!,asah dulu parang itu!,v
91,huat,huat,huat do hape ia mangangkat batu ai,ia kuat betul mengangkat batu itu,a
91,hutik,hutik,ia mangindo hutik duit bani inangni,dia meminta sedikit uang kepada ibunya,a
91,idopok,dopok,idopok halak do tobu laho mambuatsi,dipatahkan orang tebu itu dan dibawa,v
91,iporam,poram,iporam mangga ase mabei,mangga diperam supaya masak,v
91,isumsam,sumsam,taboh do hape dekke na isumsam,enak rasanya ikan yang disembam,v
91,itilpak,tilpak,mase itilpak bunga on?,mengapa dipetik bunga ini?,v
91,itioshon,tios,otik pe lang itioshonni hita,sedikitpun kita tidak diabaikannya,v
91,itunila,tunila,mase lang itunila holah tompoh ai?,mengapa tidak disapu saja sampah itu?,v
91,jerat,jerat,jerat ni halak na matei i jai,makam orang yang mati itu di sana,n
91,jonggur,jonggur,rumah na jonggur,rumah yang kokoh,a
91,kaho,kaho,aha kahoni ?,apakah jaminannya?,v
91,lambak,lambak,tobal do lambak ni galuh ai!,tebalnya lapis pisang itu tebal,n
91,lansei,lansei,halani marguro-guro lansei ia horjahon i rumah,karena bermain-main ia lalai pada pekerjaannya di rumah,a
91,lantang,lantang,lantang do rumah nami,rumah kami luas,a
