source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
ambang,agreed_extracted_match,True,inyo tibo di ambang patang,dia datang di ambang sore,inyo datang han,mamuwokan dia datang had Rabu,False,False,False,0.286,0.263,False,FN
babacoan,agreed_extracted_match,True,alah babacoan surek tu ka amak,sudah dibacakan surat itu kepada ibu,"alah su- rek ru ka a,nak,",sudah dibacakãn,False,False,False,0.25,0.306,False,FN
babani,agreed_extracted_match,True,babani inyo jo tugas barek,bebani dia dengan tugas berat,inyo Jo amaknyo,dia berdebatan de- ngan ibunya,False,False,False,0.2,0.2,False,FN
babaso,agreed_extracted_match,True,babaso lah saketek makan,berbasalah sedikit makan,ah saketek makan,berbasalah sedikit makan,False,False,False,0.636,1.0,False,FN
bacilalek,agreed_extracted_match,True,mukonyo bacilalek,mukanya bertahi lalat,mukonyo ',mukanya ditutup,False,False,False,0.333,0.231,False,FN
bacoreang-coreang,agreed_extracted_match,True,karajonyo bacoreang-coreang,kerjanya bercoret-coret,karajonyo sadonyo,pekerjaan- nya dicoret semuanya,False,False,False,0.32,0.243,False,FN
badarah,agreed_extracted_match,True,badarah kakinyo tapijak kaco,berdarah kakinya terinjak kaca,kakim'o zapijak kaco,berdarah kakinya terinjak kaca,False,False,False,0.344,1.0,False,FN
badasarkan,agreed_extracted_match,True,badasarkan pandapek ambo tadi,berdasarkan pendapatku tadi,pandapek tu,betul pendapat itu,False,False,False,0.241,0.206,False,FN
badebaik,agreed_extracted_match,True,inyo badebaik jo gurunyo,dia berdebat dengan gurunya,inyo -'fo gurunyo,dia berdebat dengan gurunya,False,False,False,0.346,1.0,False,FN
badempekan,agreed_extracted_match,True,duduak badempekan,duduk berdempetan,duduak '-',duduk bermenung,False,False,False,0.294,0.333,False,FN
bagaruiki,agreed_extracted_match,True,bagaruiki pungguangnyo,digaruki punggungnya,ba/unyo ro- b.ek di pungguak,bajunya robek di pung- gung,False,False,False,0.211,0.171,False,FN
bagili,agreed_extracted_match,True,berang inyo bagili,marah ia digelitik,berang inyo ',marah ia digeitik,False,False,False,0.562,0.722,False,FN
bakodek,agreed_extracted_match,True,nyo bakodek ka pasa,dia memakai kain panjang ke pasar,ka pasa,didagangkan ke pasa,False,False,False,0.294,0.179,False,FN
balabiah,agreed_extracted_match,True,balabiah limo buah,berlebih lima buah,limo buah,berlebih lima buah,False,False,False,0.438,1.0,False,FN
ban,agreed_extracted_match,True,alah malatuih ban karetangin den,sudah meletus ban sepeda saya,alah den 1w inyo,sudah saya wasiatkan,False,False,False,0.132,0.184,False,FN
