source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
agak,agreed_extracted_match,True,True,kelihatannya ia agak pintar,'kelihatannyo diok agak padek,kelihatannyo diok agak padek,kelihatannya ia agak pintar,False,False,False,0.378,False,False,False,0.378,False,wrong_extraction
ahli,agreed_extracted_match,True,False,dia seorang yg ahli menjalankan mesin itu,,dio soghang yg padek nyalankan mesin itu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
ampun,agreed_extracted_match,True,True,setelah ia menyadari akan kesalahannya ia mina ampun,'setelah dio nyadaghi akan kesalahannyo dio minta ampun,setelah dio nyadaghi akan kesalahannyo dio minta ampun,setelah ia menyadari akan kesalahannya ia mina,False,False,False,0.5,False,False,False,0.426,False,wrong_extraction
atau,agreed_extracted_match,True,True,"Anda boleh memilih yg mana saja majalah, buletin atau surat kabar","'kau bole milih yg mano be majalah, bulatin atau sughat kabagh","kau bole milih yg mano be majalah, bulatin atau sughat kabagh","Anda boleh memilih yg mana saja majalah, buletin atau surat kabar,",False,False,False,0.463,False,False,False,0.463,False,wrong_extraction
badan,agreed_extracted_match,True,True,pulang main badan anak itu selalu kotor,'balik main badan budak itu selalu kotogh,balik main badan budak itu selalu kotogh,pulang main badan anak itu selalu kotor,False,False,False,0.542,False,False,False,0.542,False,wrong_extraction
bahwa,agreed_extracted_match,True,True,ia mengira bahwa hari ini libur,'dio ngigho bahwo haghi ko libugh,dio ngigho bahwo haghi ko libugh,ia mengira bahwa hari mi libur,False,False,False,0.157,False,False,False,0.16,False,wrong_extraction
baik,agreed_extracted_match,True,True,karangan bunga itu baik sekali,'kaghangan bungo itu elok nian,kaghangan bungo itu elok nian,karangan bunga itu baik sekali,False,False,False,0.256,False,False,False,0.256,False,wrong_extraction
banditisme,agreed_extracted_match,True,True,operasi thd banditisme di ibu kota ditingkatkan,"itu cantik sekali memakai banditisme, 'anak itu cantik man make bando' ban.dot n bandot: banditisme unggul, 'bandot unggul",opeghasi teghhadap banditisme di ibu kota ditingkatkan,"operasi thd banditisme di ibu kota ditingkatkan, 'opeghasi teghhadap banditisme di ibu kota ditingkatkan' ban.do n bando: anak",False,False,False,0.09,False,False,False,0.623,True,wrong_extraction
bapak,agreed_extracted_match,True,True,ia baru saja datang habis mengunjungi bapaknya di kampung,'dio baghu datang habis ngunjungi bapaknyo di kampung,dio baghu datang habis ngunjungi bapaknyo di kampung,ia baru saja datang habis mengunjungi bapak-nya di kampung,False,False,False,0.538,False,False,False,0.485,False,wrong_extraction
benang,agreed_extracted_match,True,True,menegakkan benang basah,'negakkan benang basa,negakkan benang basa,menegakkan benang basah,False,False,True,0.857,False,False,True,0.857,False,wrong_extraction
berbagai-bagai,agreed_extracted_match,True,True,berbagai-bagai bunga di taman,'bamacam- macam kembang di taman,bamacam-macam kembang di taman,berbagai-bagai bamacam-macam bunga di taman,False,False,False,0.167,False,False,False,0.349,False,wrong_extraction
berbintik-bintik,agreed_extracted_match,True,True,kulitnya berbintik-bintik,'kulitnyo babintik-bintik,kulitnyo babintik-bintik,kulitnyz berbintik-bintik,False,False,False,0.48,False,False,False,0.48,False,wrong_extraction
bergaung,agreed_extracted_match,True,True,dl gedung yg besar itu bunyi akan bergaung juga,'dl gedung yg besak itu bunyi akan bagema jugo,dl gedung yg besak itu bunyi akan bagema jugo,dl gedung yg besar itu bunyi akan bergaung juga,False,False,False,0.604,False,False,False,0.604,False,wrong_extraction
berkilat,agreed_extracted_match,True,False,lantai itu berkilat setelah dibersihkan,,lante tu bakilat satelah dibeghsihkan,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
bibit,agreed_extracted_match,True,True,jagung yg tua itu bagus untuk bibit,'jagung yg tuo itu elok untuk benne,jagung yg tuo itu elok untuk benne,jagung yg tua itu bagus untuk bibit,False,False,False,0.422,False,False,False,0.422,False,wrong_extraction
bilas,agreed_extracted_match,True,True,bilaslah pakaian yg sudah disabun,'bilasla pakean yg la disabun,bilasla pakean yg la disabun,bilas-la/i pakaian yg sudah disabun,False,False,False,0.447,False,False,False,0.349,False,wrong_extraction
bimbang,agreed_extracted_match,True,True,ia masih bimbang menerima usul itu,'dio masi bimbang neghimo usul itu,dio masi bimbang neghimo usul itu,ia masih bimbang menerima usul itu,False,False,False,0.37,False,False,False,0.37,False,wrong_extraction
