dict_id,source_lemma,main_lemma,kalimat_asal,kalimat_tujuan,pos
46,baikam,ikam,wan kuitan jangan baikam,dengan org tua jangan berkamu,v
46,baitukan,ituk,mun main jangan baitukan,kalau main jangan saling merobohkan,v
46,bakarum,karum,tangannya bakarum,tangannya dlm keadaan terbelenggu/terikat,adv
46,bakasudahan,sudah,kakanak ngini kada bakasudahan manangis,anak ini tdk berhenti menangis,v
46,bakusai,kusai,bakusai napa pina babau banar,beroleskan apa sih koko bau sekali,v
46,balimpua,limpua,kami balimpua ja lah kada kawa singgah,kami lewat saja ya krn tdk bisa mampir,v
46,bangkit,bangkit,bangkit iwak di rinjing!,angkat ikan di wajan!,v
46,bapamantang,pantang,inya bapamantang makan lakatan,ia berpantangan makan ketan,v
46,basandar,sandar,jangan basandar di situ,jangan bersandar di situ,v
46,gapit,gapit,gapit wan paring,jepit dengan bambu,v
46,harit,harit,harit haja saurang,derita saja sendiri,v
46,jimpulut,jimpulut,tangan ading jimpulut bakas licak,tangan adik berlepotan kena lumpur,v
46,juhung,juhung,kalu pina ikam kujuhung,nanti kamu akan saya dorong,v
46,kalanjaran,lanjar,jangan kalanjaran bajalan,jangan terlalu jauh berjalan,adv
46,kapadihan,padih,inya kuriak-kuriak kapadihan,ia berteriak-teriak menahan luka yg terlalu pedih,a
46,kapau,kapau,kapaulah limaunya?,jeruknya berair tdk?,adv
46,kapuhunan,kapuhunan,rasai ha saikit tatamba kapuhunan,cobain dulu sedikit (makanan) agar tdk mendapat celaka,v
46,maharaakan,hara,inya maharaakan lakinya wan babinian lain,dia menguatirkan suaminya dengan perempuan lain,v
46,mahinamakan,hinam,mahinamakan hanyar kayah urang,merasakan ke diri sendiri baru ke org,v
46,malah,malah,malah inya nang kada tulak,malah dia yg tidak pergi,a
46,manangkiwang,tangkiwang,kita harus manangkiwang di batang kayu ngini,kita harus membuat potongan berbentuk siksak pd batang kayu ini,v
46,manggahiak,manggahiak,lawas banar sudah inya garing sampai manggahiak,lama sekali dia sudah sakit hingga sulit bernapas,a
46,manggusari,gusar,mun di tangah urang jangan manggusari anak,kalau di tengah org banyak jangan memarahi anak,v
46,manyintar,sintar,kada usah gin manyintar di situ,tdk usah menyintari di situ,v
46,maungkum,ungkum,sidin maungkum pisang,beliau memeram buah pisang,v
46,mumuk,mumuk,batisnya mumuk bakas tarujuk mutur,kakinya remuk bekas tertabrak mobil,a
46,ngangar,ngangar,ngangar anjing batangah malaman,lengkingan anjing di tengah malam,n
46,pamurahnya,murah,mama nukar sayur pamurahnya,ibu membeli sayur paling murah,a
46,pancatan,pancat,hayam di sini pancatan sabarataan,ayam-ayam di sini pada terganggu semua dan tidak mau bertelor,v
46,pangicuhnya,kicuh,malam tadi nangpangicuhnya,tadi malam yg paling ricuh,a
46,purna,purna,"duitnya kada dipakai, masih purna kada bauna","uangnya tdk dipakai, masih utuh tdk tersentuh",a
46,purun,purun,purun banar inya lawan aku,sampai hati sekali dia thd saya,a
46,sahut,sahut,sahut mun urang mangiyau,jawab jika org memanggil,v
46,sirangsiruk,sirangsiruk,kenapa maka sirangsiruk andakannya?,kenapa letaknya tdk ebraturan?,a
46,taat,taat,inya taat baibadah,dia taat beribadah,v
46,tapancar,pancar,tapancar banyu mata kajadian tatawa bahimat,terkeluar air mata karena tertawa luar biasa,v
46,tapanjang,panjang,kayu ngini tapanjang dp nang sabutingnya,kayu ini lebih panjang dp yg satunya,a
46,tapapas,papas,rumputnya tapapas,rumputnya terpotong,v
46,tapatuh,patuh,aku tapatuh lawan adingnya dp kaka nya,aku lebih kenal dengan adiknya dp kakaknya,a
46,tapijim,pijim,matanya tapijim satumat,matanya terpejam sebentar,v
46,tarangsang,rangsang,inya mulai tarangsang imbah disuntik bidan,ia mulai terangsang (kontraksi) stlh disuntik bidan,v
46,tasuak,suak,tanaga adingnya tasuak daripada kakanya,tenaga adiknya lebih lemah dibanding kakaknya,a
46,tatangkis,tangkis,pukulannya tatangkis sampai kada kawa manganai awak,pukulannya dapat ditangkis sehingga tdk bisa mengenai badan,v
46,taudal,udal,nasinya sdh tapalanjur taudal ka dlm rantang,nasinya sdh terlanjur terpindahkan ke dlm rantang,v
46,tingkulup,tingkulup,pancinya gugur tingkulup,pancinya jatuh terbalik,adv
46,wani,wani,inya wani bakalahi,ia berani berkelahi,a
