annotation_id,stratum,page,indonesian,regional,example_sentence,pipeline_is_anomali,label,error_side,correction,notes
4_0068,A_high_risk,,kawal,kawal,,,,,,
4_0194,B_clean_baseline,,kosakata,kosa kato,,,,,,
4_0082,A_high_risk,,diregulasi idérégulasil,deghegulasi,,,,,,
4_0247,D_multiword_reg,,kafetaria,gena bajajan,,,,,,
4_0109,A_high_risk,,bus,bus,,,,,,
4_0118,A_high_risk,,anyam,anyam,,,,,,
4_0113,A_high_risk,,gelengan,gelengan,,,,,,
4_0178,B_clean_baseline,,pencukur,pancukugh,,,,,,
4_0009,A_high_risk,,ideal iidéall,cocok,,,,,,
4_0251,D_multiword_reg,,horizon,pinggigh langit,,,,,,
4_0172,B_clean_baseline,,bingkai,bingke,,,,,,
4_0209,B_clean_baseline,,kurban,kughban,,,,,,
4_0249,D_multiword_reg,,dwifungsi,duo fungsi,,,,,,
4_0077,A_high_risk,,geli mang,gelimang,,,,,,
4_0212,B_clean_baseline,,hingga,sampe,,,,,,
4_0111,A_high_risk,,aus,aus,,,,,,
4_0195,B_clean_baseline,,gandar,gandagh,,,,,,
4_0196,B_clean_baseline,,jumiah,jumla,,,,,,
4_0067,A_high_risk,,dendam,dendam,,,,,,
4_0239,C_empty_reg,,berhenti,[],,,,,,
4_0006,A_high_risk,,kontinu,kontinu,,,,,,
4_0030,A_high_risk,,gandgn,gandgn,,,,,,
4_0024,A_high_risk,,akomodasi,akomodasi,,,,,,
4_0045,A_high_risk,,jelata,jelata,,,,,,
4_0177,B_clean_baseline,,gunjingan,umpat-an,,,,,,
4_0101,A_high_risk,,ensiklope di énsildopedil,ensikiopedi,,,,,,
