dict_id,source_lemma,main_lemma,kalimat_asal,kalimat_tujuan,pos
19,arisan,arisan,arisan ibu-ibu PKK,aresan ibuk-ibuk PKK,a|n
19,bantal,bantal,bantal guling,bantal guling,n
19,bercorak,corak,kain bercorak batik Pekalongan,kaen bemerek batek Pekalongan,vi
19,berkirim,kirim,kami berkirim barang ini buat adinda di sana,kami bekirem barang ini untok adinde di sane,vt
19,cekikan,cekik,cekikannya kuat sekali,Cekekan die kuat betol,n
19,ciptaan,cipta,puisi itu ciptaannya,puisi itu buatan die,n
19,eksplorasi,eksplorasi,eksplorasi sumber minyak di daratan dan lepas pantai,penyelidekkan sumber minyak di darat dan lepas pantai,n
19,empas,empas,dia mengempas diri di tempat tidurnya,die manteng diri dekat tempat tidonye,v
19,gabungan,gabung,gabungan kayu itu kecil-kecil,ikatan kayu itu kecik-kecik,n
19,gores,gores,gores api,pantek api,n
19,gramatika,gramatika,gramatika Melayu,tate bahase Melayu,n
19,horizon,horizon,menggapai horizon,ngapai kaki langet,n
19,iseng,iseng,hanya iseng saja,hanye maen-maen aje,a
19,jamban,jamban,menjaga kebersihan jamban berarti menjaga kesehatan,nyage kebersehan kakos bearti nyage kesehatan,n
19,kandas,kandas,kapal yg kandas itu telah ditarik,kapal yg sangkot itu lah diterek,a
19,karikatur,karikatur,gambar karikatur itu sangat bagus,gamba katon itu bagos betol,n
19,karung,karung,belikan beras sekarung,belikan beras sekantong,n
19,kegaduhan,gaduh,kegaduhan itu semakin gawat,kerusohan itu maken gawat,n
19,kekosongan,kosong,kekosongan hati,kehampean ati,n
19,keluarga,keluarga,ayah mengajak kami mengunjungi keluarga,bapak ngajak kami bejumpe sanak sedare,n
19,kepiting,kepiting,kepiting bangkang,ketam bangkang,n
19,konsespsi,konsespsi,konsespsi nilai Gurindam 12,pengertian nilai Gurindam 12,n
19,koran,koran,koran Riau Pos,surat kaba Riau Pos,n
19,lembaga,lembaga,semalam aku jumpa lembaga,semalam aku jumpe hantu,n
19,lipstik,lipstik,lipstik merah muda,gincu merah mude,n
19,loak,loak,buang kertas itu dl loak,buang kertas itu dl bakol sampah,n
19,longgar,longgar,baju yg kupakai longgar,baju yg kupakai besa,a
19,mabuk,mabuk,"karena minum arak, mereka jadi mabuk","karene minom arak, mereke jadi naneng",v
19,makna,makna,kepergianku ke sini membawa makna,kepergianku ke sini mawak maksod,n
19,mayat,mayat,mayatnya telah dikuburkan,jenazahnye lah dikubokan,n
19,melawak,lawak,mereka melawak di panggung gembira,mereke melucu di panggong gembira,vi|n
19,memabukkan,mabuk,jauhilah minuman yg memabukkan,jaohilah minoman yg mengakibatkan mabok,vt
19,memaparkan,papar,masing-masing memaparkan pendapatnya,maseng-maseng menjelaskan pendapatnye,vt
19,membalut,balut,ia membalut kakinya yang terluka,ia membarut kakinye yang terluke,vt
19,memimpin,pimpin,memimpin tangan adiknya,membimbeng tangan adeknye,vt
19,memukul,pukul,dia memukul kakiku,die memukol kakiku,vt
19,mendata,data,dia mendata kejadian itu,die menyusun date kejadian itu,vt
19,mengajak,ajak,Amin mengajak temannya mengail,Amin ngajak kawannye pegi ngael,vt
19,menggotong,gotong,kami menggotong kayu,kami mawak kayu,v|vt
19,menggugah,gugah,nasihatnya menggugah hatiku,nasehat die nyadakan ati aku,vt
