source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
agak,agreed_extracted_match,n,n,True,adv,kata,False,False
ahli,agreed_extracted_match,n,n,True,,missing,False,False
ampun,agreed_extracted_match,n,n,True,vt,kata,False,False
atau,agreed_extracted_match,p,p,True,,missing,False,False
badan,agreed_extracted_match,n,n,True,,missing,False,False
bahwa,agreed_extracted_match,p,p,True,,missing,False,False
baik,agreed_extracted_match,adj,adj,True,,missing,False,False
banditisme,agreed_extracted_match,n,n,True,,missing,False,False
bangau,disagree_content,n,n,True,,missing,False,False
bapak,agreed_extracted_match,n,n,True,,missing,False,False
benang,agreed_extracted_match,n,n,True,,missing,False,False
berbagai-bagai,agreed_extracted_match,,,False,,missing,False,False
berbintik-bintik,agreed_extracted_match,a,a,True,,missing,False,False
bergaung,agreed_extracted_match,vi,vi,True,,missing,False,False
berkilat,agreed_extracted_match,vi,vi,True,,missing,False,False
bibit,agreed_extracted_match,n,n,True,n,kata,True,True
bilas,agreed_extracted_match,v,v,True,,missing,False,False
bimbang,agreed_extracted_match,a,a,True,,kata,False,False
bingkai,agreed_extracted_match,n,n,True,n,kata,True,True
bros,agreed_extracted_match,n,n,True,,missing,False,False
bungalo,agreed_extracted_match,n,n,True,,missing,False,False
dekadensi,agreed_extracted_match,n,n,True,,missing,False,False
demam,agreed_extracted_match,a,a,True,,missing,False,False
demonstrasi,agreed_extracted_match,n,n,True,,missing,False,False
desak,agreed_no_pair,v,v,True,,missing,False,False
deskripsi,disagree_content,n,n,True,,missing,False,False
dilema,agreed_extracted_match,n,n,True,,missing,False,False
dominan,agreed_extracted_match,a,a,True,,missing,False,False
duka,agreed_extracted_match,a,a,True,a,form,True,True
dwitunggal,agreed_extracted_match,n,n,True,,missing,False,False
edar,agreed_extracted_match,,,False,,missing,False,False
eja,agreed_extracted_match,v,v,True,,missing,False,False
entah,agreed_extracted_match,adv,adv,True,,missing,False,False
eram,agreed_extracted_match,v,v,True,,missing,False,False
fenomena,disagree_content,n,n,True,,missing,False,False
fundamental,agreed_extracted_match,a,a,True,n,kata,False,False
gergaji,agreed_extracted_match,n,n,True,,missing,False,False
gigil,agreed_no_pair,v,v,True,,missing,False,False
goresan,agreed_extracted_match,n,n,True,n,form,True,True
guna,agreed_extracted_match,n,n,True,vt,kata,False,False
gunjing,agreed_extracted_match,n,n,True,,missing,False,False
hafal,agreed_extracted_match,v,v,True,vt,kata,False,False
halal,agreed_extracted_match,n,n,True,,missing,False,False
halusinasi,disagree_content,n,n,True,,missing,False,False
hari,agreed_extracted_match,n,n,True,,missing,False,False
hinggap,agreed_extracted_match,v,v,True,,missing,False,False
ijuk,agreed_extracted_match,n,n,True,,missing,False,False
ilegal,agreed_extracted_match,a,a,True,,missing,False,False
ilustrator,agreed_extracted_match,n,n,True,,missing,False,False
impian,disagree_extract,,,False,,missing,False,False
incaran,agreed_extracted_match,n,n,True,n,form,True,True
indikasi,agreed_extracted_match,n,n,True,,missing,False,False
infeksi,agreed_extracted_match,n,n,True,,missing,False,False
jalur,agreed_extracted_match,n,n,True,,missing,False,False
jatuh,agreed_extracted_match,v,v,True,,missing,False,False
jenis,agreed_extracted_match,n,n,True,,missing,False,False
jodoh,agreed_extracted_match,n,n,True,vi,kata,False,False
kalengan,disagree_content,n,n,True,n,form,True,True
kanker,agreed_extracted_match,n,n,True,,missing,False,False
kapak,agreed_extracted_match,n,n,True,,missing,False,False
kapten,agreed_extracted_match,n,n,True,,missing,False,False
kaus,agreed_extracted_match,n,n,True,,missing,False,False
kearsipan,agreed_extracted_match,n,n,True,,missing,False,False
kecerdasan,disagree_extract,n,,False,n,form,True,False
kedudukan,agreed_extracted_match,n,n,True,,missing,False,False
keemasan,agreed_extracted_match,n,n,True,n,form,True,True
kekompakan,agreed_extracted_match,n,n,True,n,form,True,True
kemih,agreed_extracted_match,n,n,True,,missing,False,False
kenan,disagree_content,n,n,True,,missing,False,False
ketat,agreed_extracted_match,a,a,True,,missing,False,False
ketumbar,disagree_content,n,n,True,,missing,False,False
kicauan,disagree_content,n,n,True,,missing,False,False
koalisi,agreed_extracted_match,n,n,True,,missing,False,False
kompak,agreed_extracted_match,a,a,True,n,kata,False,False
kongres,agreed_extracted_match,n,n,True,,missing,False,False
konsisten,agreed_extracted_match,n,n,True,,missing,False,False
korps,agreed_extracted_match,n,n,True,,missing,False,False
kumal,agreed_extracted_match,a,a,True,,missing,False,False
kupasan,agreed_extracted_match,n,n,True,n,form,True,True
kurikuler,agreed_extracted_match,a,a,True,,missing,False,False
kurva,agreed_extracted_match,n,n,True,n,form,True,True
membadik,agreed_extracted_match,vt,vt,True,,missing,False,False
membenci,disagree_content,vt,vt,True,,missing,False,False
membubarkan,agreed_extracted_match,vt,vt,True,vt,form,True,True
memperdagangkan,agreed_extracted_match,vt,vt,True,,missing,False,False
mencemarkan,agreed_extracted_match,vt,vt,True,vt,form,True,True
mencetak,agreed_extracted_match,vt,vt,True,vt,form,True,True
mendustai,disagree_content,vt,vt,True,vt,form,True,True
menggadaikan,disagree_content,vt,vt,True,vt,form,True,True
menggiling,agreed_extracted_match,vt,vt,True,vt,form,True,True
mengizinkan,agreed_extracted_match,vt,vt,True,vt,form,True,True
mengklaim,agreed_extracted_match,vt,vt,True,,missing,False,False
pembunuhan,disagree_content,a,a,True,a,form,True,True
pendapatan,disagree_content,v,v,True,n,form,False,False
pengacara,agreed_extracted_match,n,n,True,n,form,True,True
pengaderan,disagree_content,n,n,True,n,form,True,True
penggodokan,agreed_extracted_match,n,n,True,,missing,False,False
penggusuran,agreed_extracted_match,n,n,True,,missing,False,False
perguruan,agreed_extracted_match,n,n,True,n,form,True,True
sekilas,disagree_content,n,n,True,,missing,False,False
