source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
arisan,agreed_extracted_match,True,arisan ibu-ibu PKK,aresan ibuk-ibuk PKK,'aresan ibuk-ibuk,ansan ibu-ibu,False,False,False,0.286,0.3,False,FN
bantal,agreed_extracted_match,True,bantal guling,bantal guling,anta1 guling,bantal guling,False,False,False,0.5,1.0,False,FN
bercorak,agreed_extracted_match,True,kain bercorak batik Pekalongan,kaen bemerek batek Pekalongan,'kaen bemerek batek Pekalongan' co.rat-co.ret n corat-cor; gamba yg tak titu,kain bercorak batik Pekalongan,False,False,False,0.243,0.385,True,FN
berkirim,agreed_extracted_match,True,kami berkirim barang ini buat adinda di sana,kami bekirem barang ini untok adinde di sane,'kami bekirem barang mi untok,kami barang mi buat adinda di sana,False,False,False,0.245,0.358,False,FN
cekikan,agreed_extracted_match,True,cekikannya kuat sekali,Cekekan die kuat betol,'kekuatan die tak akan dapat lebeh dr lawannya,kekuatan dia tidak a/can dapat lawannya,False,False,False,0.13,0.146,True,FN
ciptaan,agreed_extracted_match,True,puisi itu ciptaannya,puisi itu buatan die,puisi itu buatan die,puisi itu —nva,False,False,False,0.286,0.364,False,FN
eksplorasi,agreed_extracted_match,True,eksplorasi sumber minyak di daratan dan lepas pantai,penyelidekkan sumber minyak di darat dan lepas pantai,daratan dan lepas pantai,eksplorasi n peiyelidekkan menyelajah sumber minyak di,False,False,False,0.438,0.351,False,FN
empas,agreed_extracted_match,True,dia mengempas diri di tempat tidurnya,die manteng diri dekat tempat tidonye,' die manteng din dekat tempat tidonye,dia meng-empas v empas banteng din di tempat tidurnya,False,False,False,0.208,0.267,False,FN
gabungan,agreed_extracted_match,True,gabungan kayu itu kecil-kecil,ikatan kayu itu kecik-kecik,'ikatan kayu itu kecik-kecik,gabungan kayu itu kecil-kecil,False,False,False,0.484,0.484,False,FN
gores,agreed_extracted_match,True,gores api,pantek api,'pantek api,gores api,False,False,False,0.154,0.154,False,FN
gramatika,agreed_extracted_match,True,gramatika Melayu,tate bahase Melayu,'tate bahase Melayu,gramatika Melayu,False,False,False,0.2,0.2,False,FN
horizon,agreed_extracted_match,True,menggapai horizon,ngapai kaki langet,'ngapai kaki langet,menggapai horizon,False,False,False,0.148,0.148,False,FN
iseng,agreed_extracted_match,True,hanya iseng saja,hanye maen-maen aje,'orang itu hanye sbg pialang,orang itu hanya sbg make lar,False,False,False,0.086,0.079,False,FN
jamban,agreed_extracted_match,True,menjaga kebersihan jamban berarti menjaga kesehatan,nyage kebersehan kakos bearti nyage kesehatan,' nyage kebersehan kakos bearti nyage kesehatan,menjaga kebersihan jamban berarti menjaga kesehatan,False,False,False,0.321,0.321,False,FN
