source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
anggogoh,agreed_extracted_match,n,n,True,,missing,False,False
arsak,agreed_extracted_match,v,v,True,,missing,False,False
asik,agreed_extracted_match,a,a,True,,missing,False,False
bagi,agreed_extracted_match,n,n,True,v,kata,False,False
baluhat,agreed_extracted_match,n,n,True,,missing,False,False
banggor,agreed_extracted_match,a,a,True,,missing,False,False
barah,agreed_extracted_match,p,p,True,,missing,False,False
baringka,agreed_extracted_match,n,n,True,,missing,False,False
bauk,agreed_extracted_match,n,n,True,,missing,False,False
botou,agreed_extracted_match,n,n,True,,missing,False,False
buhu,agreed_extracted_match,n,n,True,,missing,False,False
butir,agreed_extracted_match,n,n,True,,missing,False,False
daul,agreed_extracted_match,a,a,True,,missing,False,False
deseng,agreed_extracted_match,n,n,True,,missing,False,False
diha-diha,agreed_extracted_match,n,n,True,,missing,False,False
dungkol,agreed_extracted_match,n,n,True,,missing,False,False
emur,agreed_no_pair,v,v,True,v,kata,True,True
gadam,agreed_extracted_match,n,n,True,,missing,False,False
gajur,agreed_extracted_match,a,a,True,,missing,False,False
goloh,agreed_extracted_match,a,a,True,,missing,False,False
gondit,agreed_extracted_match,n,n,True,,missing,False,False
gurapas,agreed_extracted_match,a,a,True,,missing,False,False
harunrun,agreed_extracted_match,a,a,True,n,kata,False,False
hirah,agreed_extracted_match,v,v,True,,missing,False,False
huat,agreed_extracted_match,a,a,True,,missing,False,False
hutik,agreed_extracted_match,a,a,True,a,form,True,True
idopok,agreed_extracted_match,v,v,True,v,form,True,True
iporam,agreed_extracted_match,v,v,True,v,form,True,True
isumsam,agreed_extracted_match,v,v,True,v,form,True,True
itilpak,agreed_extracted_match,v,v,True,v,form,True,True
itioshon,agreed_extracted_match,v,v,True,v,form,True,True
itunila,agreed_extracted_match,v,v,True,v,form,True,True
jerat,agreed_extracted_match,n,n,True,,missing,False,False
jonggur,agreed_extracted_match,a,a,True,,missing,False,False
kaho,agreed_extracted_match,v,v,True,n,kata,False,False
lambak,agreed_extracted_match,n,n,True,,missing,False,False
landou,disagree_content,a,a,True,,missing,False,False
lansei,agreed_extracted_match,a,a,True,,missing,False,False
lantang,agreed_extracted_match,a,a,True,,missing,False,False
lantos,agreed_extracted_match,a,a,True,,missing,False,False
latak,disagree_content,n,n,True,n,kata,True,True
layangi,agreed_extracted_match,v,v,True,,missing,False,False
leat,disagree_content,adv,adv,True,,missing,False,False
lintagtag,agreed_extracted_match,n,n,True,,missing,False,False
lisak,disagree_content,a,a,True,,missing,False,False
loheian,disagree_content,n,n,True,n,form,True,True
lontas,disagree_content,v,v,True,n,kata,False,False
losei,agreed_extracted_match,v,v,True,,missing,False,False
majol,agreed_extracted_match,a,a,True,,missing,False,False
mal-mal,agreed_extracted_match,adv,adv,True,,missing,False,False
mambotoh,agreed_extracted_match,v,v,True,v,form,True,True
manderset,agreed_extracted_match,v,v,True,v,form,True,True
manghonongi,agreed_extracted_match,v,v,True,v,form,True,True
mangiligi,agreed_extracted_match,v,v,True,v,form,True,True
mangupir,agreed_extracted_match,v,v,True,v,form,True,True
manranang,disagree_content,v,v,True,,missing,False,False
martartar,agreed_extracted_match,v,v,True,v,form,True,True
masa,agreed_extracted_match,n,n,True,,missing,False,False
mayap,agreed_extracted_match,v,v,True,,missing,False,False
milas,agreed_extracted_match,a,a,True,,missing,False,False
mumuk,agreed_extracted_match,a,a,True,,missing,False,False
munjar,agreed_extracted_match,v,v,True,,missing,False,False
naenei,agreed_extracted_match,adv,adv,True,,missing,False,False
naporon,agreed_extracted_match,n,n,True,n,kata,True,True
nar-nar,agreed_extracted_match,n,n,True,,missing,False,False
nari,agreed_extracted_match,adv,adv,True,,missing,False,False
oak,agreed_extracted_match,n,n,True,,missing,False,False
omou,agreed_extracted_match,a,a,True,v,kata,False,False
ongkap,agreed_extracted_match,a,a,True,,missing,False,False
palei,agreed_extracted_match,a,a,True,a,form,True,True
parah,agreed_extracted_match,v,v,True,a,kata,False,False
paris,agreed_extracted_match,n,n,True,,missing,False,False
pasul,agreed_extracted_match,a,a,True,,missing,False,False
paturut,agreed_extracted_match,v,v,True,,missing,False,False
pegol,agreed_extracted_match,a,a,True,,missing,False,False
piar,disagree_content,v,v,True,,missing,False,False
pitut,agreed_extracted_match,v,v,True,,missing,False,False
pogih,agreed_extracted_match,a,a,True,,missing,False,False
pokan,agreed_extracted_match,n,n,True,,missing,False,False
poltik,agreed_extracted_match,a,a,True,,missing,False,False
puru,agreed_extracted_match,n,n,True,,missing,False,False
ranggou,agreed_extracted_match,a,a,True,v,kata,False,False
ratah,disagree_content,a,a,True,,missing,False,False
ring-ring,agreed_extracted_match,n,n,True,,missing,False,False
rongkih,agreed_extracted_match,,,False,,missing,False,False
rumah,agreed_no_pair,n,n,True,v,kata,False,False
rumbung,agreed_extracted_match,n,n,True,,missing,False,False
sahal,agreed_extracted_match,a,a,True,,missing,False,False
sahan,agreed_extracted_match,n,n,True,,missing,False,False
salohot,agreed_extracted_match,n,n,True,,missing,False,False
sia,agreed_extracted_match,n,n,True,,missing,False,False
sihap,agreed_extracted_match,a,a,True,v,kata,False,False
sodang,agreed_extracted_match,adv,adv,True,,missing,False,False
soh,agreed_extracted_match,n,n,True,v,kata,False,False
sorot,agreed_no_pair,n,n,True,v,kata,False,False
subut,agreed_extracted_match,v,v,True,,missing,False,False
tang,agreed_extracted_match,adv,adv,True,,missing,False,False
tasak,agreed_extracted_match,a,a,True,,missing,False,False
telpak,agreed_extracted_match,adv,adv,True,,missing,False,False
tenjalak,agreed_extracted_match,v,v,True,,missing,False,False
