dict_id,tier_prefix,violation_count_prefix,violations_prefix,tier_postfix,violation_count_postfix,violations_postfix
1,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_short_rows,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_short_rows
2,broken,6,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,5,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
3,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,broken,3,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows
4,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
5,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
8,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
9,broken,6,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_short_rows
10,needs_attention,1,parcor_high_placeholders,good,0,
11,broken,5,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
12,broken,3,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
13,broken,3,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
14,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
15,broken,3,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_placeholders,needs_attention,2,billex_high_multiword_ind;parcor_high_null_rate
16,broken,3,billex_high_multiword_ind;billex_high_duplicates;parcor_high_placeholders,needs_attention,2,billex_high_multiword_ind;billex_high_duplicates
17,broken,6,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_short_rows
18,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
19,broken,3,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
20,broken,3,billex_too_few_rows;morph_too_few_rows;parcor_high_placeholders,needs_attention,2,billex_too_few_rows;morph_too_few_rows
21,broken,3,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
22,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_too_few_rows;parcor_high_placeholders,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_too_few_rows
23,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
24,broken,3,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows,broken,3,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows
25,broken,4,morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,parcor_high_null_rate;parcor_high_short_rows
26,broken,3,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows,broken,3,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_short_rows
27,broken,3,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
28,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
29,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage
31,broken,5,billex_too_few_rows;morph_too_few_rows;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_too_few_rows;morph_too_few_rows;parcor_high_null_rate;parcor_high_short_rows
32,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_short_rows
33,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_short_rows
34,broken,5,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
35,needs_attention,1,parcor_high_placeholders,good,0,
36,needs_attention,2,parcor_high_null_rate;parcor_high_placeholders,needs_attention,1,parcor_high_null_rate
37,broken,3,billex_high_multiword_ind;morph_too_few_rows;parcor_high_placeholders,needs_attention,2,billex_high_multiword_ind;morph_too_few_rows
38,broken,3,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
41,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
42,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
43,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
44,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_placeholders,broken,3,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows
45,needs_attention,2,parcor_high_null_rate;parcor_high_placeholders,needs_attention,1,parcor_high_null_rate
46,broken,3,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,needs_attention,2,billex_high_multiword_ind;parcor_high_short_rows
48,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_placeholders,broken,3,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows
50,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,broken,3,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_short_rows
51,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,broken,3,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_short_rows
52,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_placeholders,broken,3,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows
54,needs_attention,2,billex_high_multiword_ind;morph_low_tag_coverage,needs_attention,2,billex_high_multiword_ind;morph_low_tag_coverage
55,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
56,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,broken,3,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows
57,broken,6,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,broken,4,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind;morph_too_few_rows
58,broken,7,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows,broken,7,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
60,broken,4,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,broken,3,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage
61,broken,7,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,6,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
62,broken,5,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
63,broken,3,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
66,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,broken,4,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage
67,broken,5,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,4,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows
68,good,0,,good,0,
70,broken,5,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_too_few_rows;parcor_high_placeholders,broken,4,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_too_few_rows
71,needs_attention,1,morph_low_tag_coverage,needs_attention,1,morph_low_tag_coverage
77,needs_attention,2,billex_high_multiword_ind;parcor_high_placeholders,needs_attention,1,billex_high_multiword_ind
78,broken,6,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,broken,5,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_null_rate;parcor_high_short_rows
