annotation_id,stratum,page,indonesian,regional,example_sentence,pipeline_is_anomali,label,error_side,correction,notes
4_0000,A_high_risk,,gas,gas,,,,,,
4_0001,A_high_risk,,komisi,komisi,,,,,,
4_0002,A_high_risk,,eksekusi,eksekusi,,,,,,
4_0003,A_high_risk,,kuntum,kuntum,,,,,,
4_0004,A_high_risk,,ese lon iéselonl,eselon,,,,,,
4_0005,A_high_risk,,ingat,ingat,,,,,,
4_0006,A_high_risk,,kontinu,kontinu,,,,,,
4_0007,A_high_risk,,centong icéntong,centong,,,,,,
4_0008,A_high_risk,,batang,batang,,,,,,
4_0009,A_high_risk,,ideal iidéall,cocok,,,,,,
4_0010,A_high_risk,,kutip,kutip,,,,,,
4_0011,A_high_risk,,autobiografi,autobiografi,,,,,,
4_0012,A_high_risk,,binaraga wan,binaghagawan,,,,,,
4_0013,A_high_risk,,perbankkan,perbankkan,,,,,,
4_0014,A_high_risk,,kamera kaméral,kamegha,,,,,,
4_0015,A_high_risk,,ketan,ketan,,,,,,
4_0016,A_high_risk,,diok dak nulikan pangajaghan oghang tuonyo hiruk-pikuk,ghibut,,,,,,
4_0017,A_high_risk,,asbes,asbes,,,,,,
4_0018,A_high_risk,,elang,elang,,,,,,
4_0019,A_high_risk,,atap,atap,,,,,,
4_0020,A_high_risk,,ba has,bahas,,,,,,
4_0021,A_high_risk,,halal,halal,,,,,,
4_0022,A_high_risk,,basis,basis,,,,,,
4_0023,A_high_risk,,pengelolaan,[],,,,,,
4_0024,A_high_risk,,akomodasi,akomodasi,,,,,,
4_0025,A_high_risk,,ekuivalen ékuivalenl,ekuivalen,,,,,,
4_0026,A_high_risk,,awas,awas,,,,,,
4_0027,A_high_risk,,berak ibérak,beghak,,,,,,
4_0028,A_high_risk,,gejo lak,semangat,,,,,,
4_0029,A_high_risk,,kero yok,kaghoyok,,,,,,
4_0030,A_high_risk,,gandgn,gandgn,,,,,,
4_0031,A_high_risk,,kumpul kerbau,kumpul keghbo,,,,,,
4_0032,A_high_risk,,diplomat,diplomat,,,,,,
4_0033,A_high_risk,,duduk,duduk,,,,,,
4_0034,A_high_risk,,eksentrik éksés,ekses,,,,,,
4_0035,A_high_risk,,finis,finis,,,,,,
4_0036,A_high_risk,,idam,idam,,,,,,
4_0037,A_high_risk,,cumbu,cumbu,,,,,,
4_0038,A_high_risk,,isian,isian,,,,,,
