source_lemma,main_lemma_a1,main_lemma_a2,pos_a1,pos_a2,kalimat_asal_a1,kalimat_asal_a2,kalimat_tujuan_a1,kalimat_tujuan_a2,notes_a1,notes_a2,notes_family_a1,notes_family_a2,outcome
bangau,bangau,bangau,n,n,"setingi-tingi bangau terbang, surutnya ke kubangan","setingi-tingi bangau terbang, surutnya ke kubangan",setingi-tinggi bango teghbang sughutnyo ke kubangan,setingi-tingi bango teghbang sughutnyo ke kubangan,,,,,disagree_content
deskripsi,deskripsi,deskripsi,n,n,kamus yg baik membuat deskripsi tt aspek leksikon secara tuntas,kamus yg baik memuat deskripsi tt aspek leksikon secara tuntas,kamus yg elok muat deskghipsi tt aspek leksikon sacagho tuntas,kamus yg elok memuat deskghipsi tt aspek leksikon sacagho tuntas,,,,,disagree_content
fenomena,fenomena,fenomena,n,n,gerhana adalah salah satu fenomena ilmu pengetahuan,gerhana adalah salah satu fenomena ilmu pengetahuan,geghhana adolah salali sekok fenomena ilmu pengetahuan,geghhana adolah salah sekok fenomena ilmu pengetahuan,,,,,disagree_content
halusinasi,halusinasi,halusinasi,n,n,setalah sakit berat itu ia sering berhalusinasi,setelah sakit berat itu ia sering berhalusinasi,sudah sakit beghat tu diok seghing ngayal,sudah sakit beghat tu diok seghing ngayal,,,,,disagree_content
impian,impi,impi,,,,impian Anda sekarang telah menjadi kenyataan,,impian kau la jadi kenyataan,no example sentences,,no_pair,,disagree_extract
kalengan,kaleng,kaleng,n,n,makanan kalengan sudah disiapkan km kapal akan berlayar,makanan kalengan sudah disiapkan krn kapal akan berlayar,makanan kalengan la disiapkan kaghno kapal ndak baghangkat,makanan kalengan la disiapkan kaghno kapal ndak baghangkat,,,,,disagree_content
kecerdasan,ceramah,ceramah,n,,perpustakaan didirikan untuk meningkatkan kecerdasan masyarakat,,paghpustakaan didighikan untuk ningkatkan kacaghdasan masyaghakat,,main_lemma tidak sesuai dengan source_lemma,main_lemma tidak sesuai dengan source_lemma,other,other,disagree_extract
kenan,kenan,kenan,n,n,anak yg hilang itu mempunyai kenan di pelipis mata,anak yg hilang itu mempunyai kenan di pelipis mata,budak yg Hang tu punyo tai lalat di palipis mato,budak yg ilang tu punyo tai lalat di palipis mato,,,,,disagree_content
ketumbar,ketumbar,ketumbar,n,n,untuk membuat dendeng diperlukan ketumbar,untuk membuat dendeng diperlukan ketumbar,untuk mbuat dendeng dipaghiukan katumbagh,untuk mbuat dendeng dipaghlukan katumbagh,,,,,disagree_content
kicauan,kicau,kicau,n,n,kicau burung,kicauan burung terdengar merde,kicau bughung,kicauan bughung tadengagh meghdu,,,,,disagree_content
membenci,benci,benci,vt,vt,km sifatnya yg buruk itu banyak orang yg membencinya,krn sifatnya yg buruk itu banyak orang yg membencinya,kaghno sifatnyo yg bughuk itu banyak oghang yg mbencinyo,kaghno sifatnyo yg bughuk itu banyak oghang yg mbencinyo,,,,,disagree_content
mendustai,dusta,dusta,vt,vt,ia mendustai kakaknya,jangan berdusta,dio nyombongi abangnyo,jangan nyombong,,,,,disagree_content
menggadaikan,gadai,gadai,vt,vt,ia menggadaikan gelang dan kalung istrinya untuk berjudi,Kantor Pajak Gadai,dio nggadaikan gelang dan kalung bininyo untuk bajudi,Kantogh Pajak Gadai,,,,,disagree_content
pembunuhan,bunuh,bunuh,a,a,rekonstruksi pembunuhan itu dilaksanakan bulan lalu,rekonstruksi pembunuhan itu dilaksanakan bulan lalu,ghekonstghuksi pembunuan itu dilaksanakan bulan Ialu,ghekonstghuksi pembunuan itu dilaksanakan bulan lalu,,,,,disagree_content
pendapatan,dapat,dapat,v,v,adikku sudah dapat berjalan,"pendapatan per harinya Rp5000,00",adek aku la dapat bajalan,"pandapat-an pagh haghinyo Rp5000,00",,,,,disagree_content
pengaderan,kader,kader,n,n,kader penerus,untuk pengembangan kesenian perlu adanya pengaderan,kadegh peneghus,untuk pengembangan kesenian peghlu adonyo pengadeghan,,,,,disagree_content
sekilas,kilas,kilas,n,n,kilas balik,hanya terlihat sekilas saja,kilas balek,cuma taliat sakilas be,,,,,disagree_content
