dict_id,n_gold_rows,match_level,tp,fp,fn,tn,wrong_extraction,precision,recall,f1
34,1,strict,0,0,1,0,0,,0.0,
34,1,normalized,0,0,1,0,0,,0.0,
34,1,fuzzy,0,0,1,0,0,,0.0,
42,22,strict,0,0,22,0,0,,0.0,
42,22,normalized,0,0,22,0,0,,0.0,
42,22,fuzzy,0,0,22,0,0,,0.0,
54,141,strict,0,0,141,0,0,,0.0,
54,141,normalized,0,0,141,0,0,,0.0,
54,141,fuzzy,0,0,141,0,0,,0.0,
68,168,strict,0,0,168,0,0,,0.0,
68,168,normalized,0,0,168,0,0,,0.0,
68,168,fuzzy,0,0,168,0,0,,0.0,
71,126,strict,0,0,126,0,0,,0.0,
71,126,normalized,0,0,126,0,0,,0.0,
71,126,fuzzy,0,0,126,0,0,,0.0,
89,142,strict,0,0,142,0,0,,0.0,
89,142,normalized,0,0,142,0,0,,0.0,
89,142,fuzzy,0,0,142,0,0,,0.0,
