dict_id,kata_asal,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
54,akhirat,True,apakah kamu percaya dengan hari akhirat?,aileuk nu agaik nenda gogoi kalepakat polak?,apakah kamu percaya dengan han —?,aileuk flu agaik nenda gogoi kaakhir lepakat polak,False,False,False,0.692,0.692,False,FN
54,akhlak,True,akhlak patut diteladani,paraboat nia maeruk ta ului,"paturdi telaakhlak n paraboat dani, paraboat nia maeruk ta ului a.ki.bat n luakhlak n paraboattut: —","kelakuannya, dia disisihkan orang kampung, luakhlak n paraboatlut kalajet nia, ia dasaraakek ta kalaggaijat",False,False,False,0.177,0.123,True,FN
54,akibat,True,"akibat kelakuannya, dia disisihkan orang kampung","lulut kalajet nia, ia dasaraakek ta kalaggaijat",dia orang bagak di kambagak pung kami,nia sirimanua sibagak magege kalaggai mai,False,False,False,0.22,0.13,False,FN
54,akrab,True,kami akrab sekali dengannya,maeruk ku paalei kai,kami akhlak n paraboat sekali den gannva,maeruk ku paalei kai,False,False,False,0.37,1.0,False,FN
54,aku,True,aku berasal dari Sipora,aku sibara ka Sipora,berasal dari Sipora,aku sibara ka Sipora,False,False,True,0.81,1.0,False,FN
54,alam,True,alam ini ciptaan Tuhan,polak nenek ciptaan tai kamanua,mi ciptaan Tuhan.,polak nenek ciptaan tai kamanua,False,False,False,0.619,1.0,False,FN
54,almari,True,almari ini bagus,lammari neknek maekuk,mi bagus,lammari neknek maekuk,False,False,False,0.333,1.0,False,FN
54,alu,True,ambil alu itu untuk penumbuk padi ini,alah tutudduk nera pasi tudduk buak nera,ambil — jut untuk penumbuk padi mi,alah tuaiu tudduk nera pasi tudduk buak nera,False,False,False,0.5,0.788,False,FN
54,berakibat,True,-,-,,,False,False,False,0.0,0.0,False,FN
54,mengalir,True,air sungai ini mengalir ke laut,oinan neknek moi muenung ka koat,air sungai mi aiir eflufig mengalir ke laur,oman neknek moi muenung ka koat,False,False,False,0.512,0.839,False,FN
54,akhirat,True,apakah kamu percaya dengan hari akhirat?,aileuk flu agaik nenda gogoi ka- lepakat polak?,apakah kamu percaya dengan han —?,aileuk flu agaik nenda gogoi kaakhir lepakat polak,False,False,False,0.692,0.804,False,FN
