source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
arisan,agreed_extracted_match,True,False,arisan ibu-ibu PKK,,aresan ibuk-ibuk PKK,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
bantal,agreed_extracted_match,True,True,bantal guling,guling,bantal guling,anta1 guling,False,False,False,0.364,False,False,False,0.5,False,wrong_extraction
bercorak,agreed_extracted_match,True,True,kain bercorak batik Pekalongan,kain corak batik Pekalongan,kaen bemerek batek Pekalongan,'kaen bemerek batek Pekalongan' 69 co.rat-co.ret n corat-cor; gamba yg tak titu,False,False,True,0.767,False,False,False,0.388,True,wrong_extraction
berkirim,agreed_extracted_match,True,True,kami berkirim barang ini buat adinda di sana,kami barang mi buat adinda di sana,kami bekirem barang ini untok adinde di sane,'kami bekirem barang mi untok,False,False,False,0.651,False,False,False,0.523,False,wrong_extraction
cekikan,agreed_extracted_match,True,True,cekikannya kuat sekali,"nya kuat sei, 'Cekekan die kuat betol' ce.kok n cekok,",Cekekan die kuat betol,obat yg dibuat dr rempah yg dimasokkan ke mulot dng pakse,False,False,False,0.231,False,False,False,0.078,True,wrong_extraction
ciptaan,agreed_extracted_match,True,True,puisi itu ciptaannya,puisi itu —nva,puisi itu buatan die,puisi itu buatan die,False,False,False,0.364,True,True,True,1.0,False,wrong_extraction
eksplorasi,agreed_extracted_match,True,True,eksplorasi sumber minyak di daratan dan lepas pantai,sumber minyak di,penyelidekkan sumber minyak di darat dan lepas pantai,daratan dan lepas pantai,False,False,False,0.292,False,False,False,0.346,False,wrong_extraction
empas,agreed_extracted_match,True,True,dia mengempas diri di tempat tidurnya,dia meng-- din di tempat tidurnya,die manteng diri dekat tempat tidonye,' die manteng din dekat tempat tidonye,False,False,False,0.59,False,False,True,0.806,False,wrong_extraction
gabungan,agreed_extracted_match,True,True,gabungan kayu itu kecil-kecil,kayu itu kecil-kecil,ikatan kayu itu kecik-kecik,'ikatan kayu itu kecik-kecik,False,False,False,0.625,False,True,True,1.0,False,wrong_extraction
gores,agreed_extracted_match,True,True,gores api,pantek api;,pantek api,man ces,False,False,False,0.154,False,False,False,0.0,False,wrong_extraction
gramatika,agreed_extracted_match,True,False,gramatika Melayu,,tate bahase Melayu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
horizon,agreed_extracted_match,True,True,menggapai horizon,menggapai horizon,ngapai kaki langet,'ngapai kaki langet,True,True,True,1.0,False,True,True,1.0,False,TP
iseng,agreed_extracted_match,True,False,hanya iseng saja,,hanye maen-maen aje,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
jamban,agreed_extracted_match,True,True,menjaga kebersihan jamban berarti menjaga kesehatan,menjaga kebersihan jamban berarti menjaga kesehatan,nyage kebersehan kakos bearti nyage kesehatan,' nyage kebersehan kakos bearti nyage kesehatan,True,True,True,1.0,False,True,True,1.0,False,TP
kandas,agreed_extracted_match,True,True,kapal yg kandas itu telah ditarik,kapal yg kandas itu telah ditarik,kapal yg sangkot itu lah diterek,'kapal yg sangkot itu lah diterek,True,True,True,1.0,False,True,True,1.0,False,TP
karikatur,agreed_extracted_match,True,True,gambar karikatur itu sangat bagus,gam bar karcis itu sangat bagus,gamba katon itu bagos betol,'gamba katon itu bagos betol,False,False,False,0.553,False,True,True,1.0,False,wrong_extraction
