source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
acaro,disagree_content,n,n,True,,missing,False,False
adok,disagree_content,v,v,True,v,kata,True,True
ambang,agreed_extracted_match,n,n,True,,missing,False,False
angik,disagree_content,a,a,True,,missing,False,False
babacoan,agreed_extracted_match,v,v,True,,missing,False,False
babani,agreed_extracted_match,v,v,True,v,form,True,True
babaso,agreed_extracted_match,v,v,True,,missing,False,False
bacilalek,agreed_extracted_match,v,v,True,v,form,True,True
bacoreang-coreang,agreed_extracted_match,v,v,True,,missing,False,False
badarah,agreed_extracted_match,v,v,True,v,form,True,True
badasarkan,agreed_extracted_match,v,v,True,,missing,False,False
badebaik,agreed_extracted_match,v,v,True,,missing,False,False
badempekan,agreed_extracted_match,v,v,True,,missing,False,False
bagaruiki,agreed_extracted_match,v,v,True,,missing,False,False
bagili,agreed_extracted_match,v,v,True,,missing,False,False
bakodek,agreed_extracted_match,v,v,True,v,form,True,True
balabiah,agreed_extracted_match,v,v,True,v,form,True,True
ban,agreed_extracted_match,n,n,True,,missing,False,False
baransua,agreed_extracted_match,v,v,True,v,form,True,True
barengge,disagree_content,v,v,True,v,form,True,True
basalero,agreed_extracted_match,v,v,True,,missing,False,False
basobok,disagree_content,v,v,True,v,form,True,True
basuahan,agreed_extracted_match,v,v,True,v,form,True,True
bataranak,agreed_extracted_match,v,v,True,v,form,True,True
bor,agreed_extracted_match,n,n,True,,missing,False,False
cacahi,disagree_content,v,v,True,,missing,False,False
dempekan,agreed_extracted_match,v,v,True,,missing,False,False
didinginan,disagree_content,v,v,True,,missing,False,False
didirian,agreed_extracted_match,v,v,True,,missing,False,False
digambok,agreed_extracted_match,v,v,True,v,form,True,True
dikabiri,agreed_extracted_match,v,v,True,,missing,False,False
dilimpok,disagree_content,v,v,True,,missing,False,False
diosong-osong,agreed_extracted_match,v,v,True,,missing,False,False
dipabaharui,agreed_extracted_match,v,v,True,,missing,False,False
dipalantai,agreed_extracted_match,v,v,True,v,form,True,True
dirancakan,agreed_extracted_match,v,v,True,v,form,True,True
garuih,agreed_extracted_match,n,n,True,,missing,False,False
jalang,agreed_extracted_match,v,v,True,,missing,False,False
kalambu,agreed_extracted_match,n,n,True,,missing,False,False
kanyang,agreed_extracted_match,a,a,True,,missing,False,False
katiko,disagree_content,adv,adv,True,,missing,False,False
korong,agreed_extracted_match,n,n,True,v,kata,False,False
mada,agreed_extracted_match,a,a,True,,missing,False,False
makan,agreed_extracted_match,v,v,True,,missing,False,False
makin,agreed_extracted_match,adv,adv,True,,missing,False,False
malambaian,agreed_extracted_match,v,v,True,v,form,True,True
mambongka,agreed_extracted_match,v,v,True,v,form,True,True
mambuduik,agreed_extracted_match,v,v,True,,missing,False,False
mamburuan,agreed_extracted_match,v,v,True,,missing,False,False
mamparanakan,agreed_extracted_match,n,n,True,,missing,False,False
