source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
agak,agreed_extracted_match,True,True,kelihatannya ia agak pintar,kelihatannya ia agak pintar,kelihatannyo diok agak padek,'kelihatannyo diok agak padek,True,True,True,1.0,False,True,True,1.0,False,TP
ahli,agreed_extracted_match,True,False,dia seorang yg ahli menjalankan mesin itu,,dio soghang yg padek nyalankan mesin itu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
ampun,agreed_extracted_match,True,True,setelah ia menyadari akan kesalahannya ia mina ampun,setelah ia menyadari akan kesalahannya ia mina,setelah dio nyadaghi akan kesalahannyo dio minta ampun,'setelah dio nyadaghi akan kesalahannyo dio minta ampun,False,False,True,0.867,False,True,True,1.0,False,wrong_extraction
atau,agreed_extracted_match,True,True,"Anda boleh memilih yg mana saja majalah, buletin atau surat kabar","Anda boleh memilih yg mana saja majalah, buletin atau surat kabar,","kau bole milih yg mano be majalah, bulatin atau sughat kabagh","'kau bole milih yg mano be majalah, bulatin atau sughat kabagh",False,True,True,1.0,False,True,True,1.0,False,TP
badan,agreed_extracted_match,True,True,pulang main badan anak itu selalu kotor,pulang main badan anak itu selalu kotor,balik main badan budak itu selalu kotogh,'balik main badan budak itu selalu kotogh,True,True,True,1.0,False,True,True,1.0,False,TP
bahwa,agreed_extracted_match,True,True,ia mengira bahwa hari ini libur,ia mengira bahwa hari mi libur,dio ngigho bahwo haghi ko libugh,'dio ngigho bahwo haghi ko libugh,False,False,True,0.781,False,True,True,1.0,False,wrong_extraction
baik,agreed_extracted_match,True,True,karangan bunga itu baik sekali,karangan bunga itu baik sekali,kaghangan bungo itu elok nian,'kaghangan bungo itu elok nian,True,True,True,1.0,False,True,True,1.0,False,TP
banditisme,agreed_extracted_match,True,True,operasi thd banditisme di ibu kota ditingkatkan,"operasi thd bandit di ibu kota ditingkatkan, 'opeghasi teghhadap banditisme di ibu kota ditingkatkan' ban.do n bando: anak",opeghasi teghhadap banditisme di ibu kota ditingkatkan,"itu cantik sekali memakai bandit, 'anak itu cantik man make bando' ban.dot n bandot: bandit unggul, 'bandot unggul",False,False,False,0.532,False,False,False,0.043,True,wrong_extraction
bapak,agreed_extracted_match,True,True,ia baru saja datang habis mengunjungi bapaknya di kampung,ia baru saja datang habis mengunjungi --nya di kampung,dio baghu datang habis ngunjungi bapaknyo di kampung,'dio baghu datang habis ngunjungi bapaknyo di kampung,False,False,True,0.821,False,True,True,1.0,False,wrong_extraction
benang,agreed_extracted_match,True,True,menegakkan benang basah,menegakkan benang basah,negakkan benang basa,'negakkan benang basa,True,True,True,1.0,False,True,True,1.0,False,TP
berbagai-bagai,agreed_extracted_match,True,True,berbagai-bagai bunga di taman,bunga di taman,bamacam-macam kembang di taman,'bamacam- macam kembang di taman,False,False,False,0.5,False,False,True,0.815,False,wrong_extraction
berbintik-bintik,agreed_extracted_match,True,True,kulitnya berbintik-bintik,kulitnyz bintik,kulitnyo babintik-bintik,'kulitnyo babintik-bintik,False,False,False,0.391,False,True,True,1.0,False,wrong_extraction
bergaung,agreed_extracted_match,True,True,dl gedung yg besar itu bunyi akan bergaung juga,dl gedung yg besar itu bunyi akan gaung juga,dl gedung yg besak itu bunyi akan bagema jugo,'dl gedung yg besak itu bunyi akan bagema jugo,False,False,True,0.864,False,True,True,1.0,False,wrong_extraction
berkilat,agreed_extracted_match,True,True,lantai itu berkilat setelah dibersihkan,"lantai itu kilang setelah dibersihkan, 'lante tu bakilat satelah dibeghsihkan' kLlir",lante tu bakilat satelah dibeghsihkan,"n kiligh: kilang pisau itu supaya tajam, 'kiligh piso tu supayo tajam",False,False,False,0.493,False,False,False,0.064,True,wrong_extraction
bibit,agreed_extracted_match,True,True,jagung yg tua itu bagus untuk bibit,jagung yg tua itu bagus untuk bibit,jagung yg tuo itu elok untuk benne,'jagung yg tuo itu elok untuk benne,True,True,True,1.0,False,True,True,1.0,False,TP
bilas,agreed_extracted_match,True,True,bilaslah pakaian yg sudah disabun,la/i pakaian yg sudah disabun,bilasla pakean yg la disabun,'bilasla pakean yg la disabun,False,False,False,0.676,False,True,True,1.0,False,wrong_extraction
bimbang,agreed_extracted_match,True,True,ia masih bimbang menerima usul itu,ia masih bimbang menerima usul itu,dio masi bimbang neghimo usul itu,'dio masi bimbang neghimo usul itu,True,True,True,1.0,False,True,True,1.0,False,TP
bingkai,agreed_extracted_match,True,True,bingkai papan tulis itu sudah rusak,papan tulis itu sudah rusak,bingke papan tulis itu la ghusak,'bingke papan tulis itu la ghusak,False,False,True,0.758,False,True,True,1.0,False,wrong_extraction
