source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
arisan,agreed_extracted_match,a,n,False,,missing,False,False
bantal,agreed_extracted_match,n,n,True,,missing,False,False
benar,disagree_content,a,a,True,,missing,False,False
bercorak,agreed_extracted_match,vi,vi,True,,missing,False,False
berhubung,disagree_content,v,v,True,vt,kata,False,False
berkirim,agreed_extracted_match,vt,vt,True,,missing,False,False
cekikan,agreed_extracted_match,n,n,True,,missing,False,False
cela,disagree_content,n,n,True,n,kata,True,True
ciptaan,agreed_extracted_match,n,n,True,n,form,True,True
divisi,disagree_content,n,n,True,,missing,False,False
edukasi,disagree_content,n,n,True,,missing,False,False
eksplorasi,agreed_extracted_match,n,n,True,,missing,False,False
empas,agreed_extracted_match,v,v,True,,missing,False,False
gabungan,agreed_extracted_match,n,n,True,n,form,True,True
gores,agreed_extracted_match,n,n,True,n,kata,True,True
gramatika,agreed_extracted_match,n,n,True,n,form,True,True
guna,disagree_content,n,n,True,n,form,True,True
hati,disagree_content,vi,n,False,,missing,False,False
horizon,agreed_extracted_match,n,n,True,,missing,False,False
ikhtiar,disagree_content,n,n,True,,missing,False,False
iseng,agreed_extracted_match,a,a,True,n,kata,False,False
jamban,agreed_extracted_match,n,n,True,v,kata,False,False
kandas,agreed_extracted_match,a,a,True,,missing,False,False
karikatur,agreed_extracted_match,n,n,True,n,form,True,True
karung,agreed_extracted_match,n,n,True,,missing,False,False
keberatan,disagree_content,a,a,True,a,form,True,True
kegaduhan,agreed_extracted_match,n,n,True,n,form,True,True
kekosongan,agreed_extracted_match,n,n,True,n,form,True,True
keluarga,agreed_extracted_match,n,n,True,,missing,False,False
kemari,disagree_content,v,v,True,,missing,False,False
kepiting,agreed_extracted_match,n,n,True,,missing,False,False
kerdil,disagree_content,a,a,True,,missing,False,False
konsespsi,agreed_extracted_match,n,n,True,,missing,False,False
koran,agreed_extracted_match,n,n,True,,missing,False,False
ladang,disagree_content,n,n,True,n,kata,True,True
lagi,disagree_content,adv,adv,True,,missing,False,False
lembaga,agreed_extracted_match,n,n,True,n,kata,True,True
lipstik,agreed_extracted_match,n,n,True,,missing,False,False
lipur,disagree_content,v,v,True,n,kata,False,False
loak,agreed_extracted_match,n,n,True,n,kata,True,True
longgar,agreed_extracted_match,a,a,True,,missing,False,False
mabuk,agreed_extracted_match,v,v,True,vt,kata,False,False
makna,agreed_extracted_match,n,n,True,,missing,False,False
mantra,disagree_content,n,n,True,,missing,False,False
mayat,agreed_extracted_match,n,n,True,,missing,False,False
melawak,agreed_extracted_match,vi,n,False,,missing,False,False
memabukkan,agreed_extracted_match,vt,vt,True,vt,form,True,True
memaparkan,agreed_extracted_match,vt,vt,True,,missing,False,False
membalut,agreed_extracted_match,vt,vt,True,,missing,False,False
memimpin,agreed_extracted_match,vt,vt,True,,missing,False,False
memperanakkan,disagree_content,vt,vt,True,,missing,False,False
memukul,agreed_extracted_match,vt,vt,True,vt,form,True,True
mencoleng,disagree_content,vi,vi,True,,missing,False,False
mendata,agreed_extracted_match,vt,vt,True,vi,form,False,False
mengajak,agreed_extracted_match,vt,vt,True,,missing,False,False
mengepalai,disagree_content,vt,vt,True,vt,form,True,True
menggotong,agreed_extracted_match,v,vt,False,vt,form,False,True
menggugah,agreed_extracted_match,vt,vt,True,,missing,False,False
menghukum,agreed_extracted_match,vt,vt,True,,missing,False,False
mengisap,agreed_extracted_match,vt,vt,True,,missing,False,False
mengukuhkan,agreed_extracted_match,vt,vt,True,vt,form,True,True
menimbulkan,agreed_extracted_match,vt,vt,True,,missing,False,False
menjunjung,agreed_extracted_match,vt,vt,True,,missing,False,False
menjurus,agreed_extracted_match,vt,vt,True,,missing,False,False
menyerempet,agreed_extracted_match,vt,vt,True,,missing,False,False
meresapi,agreed_empty_other,vt,vt,True,,missing,False,False
mode,agreed_extracted_match,n,n,True,,missing,False,False
motivasi,agreed_extracted_match,n,n,True,,missing,False,False
panjar,agreed_extracted_match,n,n,True,,missing,False,False
penghematan,agreed_extracted_match,a,n,False,n,form,False,True
pengintaian,agreed_no_pair,n,n,True,,missing,False,False
penonton,disagree_content,n,n,True,n,form,True,True
perdamaian,disagree_content,n,n,True,n,form,True,True
pergi,agreed_extracted_match,v,v,True,,missing,False,False
perlawanan,agreed_extracted_match,n,n,True,,missing,False,False
posisi,agreed_extracted_match,n,n,True,,missing,False,False
proteksi,disagree_content,n,n,True,,missing,False,False
representatif,agreed_extracted_match,a,a,True,,missing,False,False
reruntuhan,disagree_content,n,n,True,n,form,True,True
rimbun,agreed_extracted_match,a,a,True,n,kata,False,False
sakit,agreed_extracted_match,a,a,True,n,kata,False,False
semena-mena,agreed_extracted_match,adv,adv,True,,missing,False,False
singgah,agreed_extracted_match,v,v,True,n,kata,False,False
sisi,agreed_extracted_match,n,n,True,,missing,False,False
stagnasi,agreed_extracted_match,n,n,True,,missing,False,False
tambah,agreed_extracted_match,n,n,True,vt,kata,False,False
tampil,agreed_extracted_match,v,v,True,vt,kata,False,False
target,agreed_extracted_match,n,n,True,,missing,False,False
tenda,agreed_extracted_match,n,n,True,,missing,False,False
